TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft
73701,"4801 Pocasset, Enid, OK 73701","Enid, OK 73701",For Sale,315000,4,2,1971
73701,"901 W Illinois Ave, Enid, OK 73701","Enid, OK 73701",For Sale,69900,2,1,865
73701,"905 W Illinois Ave, Enid, OK 73701","Enid, OK 73701",For Sale,84900,3,2,1260
73701,"111 and 111 1/2 W Locust, Enid, OK 73701","Enid, OK 73701",For Sale,35000,,,
73701,"609 N 13th St, Enid, OK 73701","Enid, OK 73701",For Sale,16500,2,1,994
73701,"1508 N Monroe St, Enid, OK 73701","Enid, OK 73701",For Sale,55000,3,1,917
73701,"1009 E Chestnut Ave, Enid, OK 73701","Enid, OK 73701",For Sale,5000,Studio,,
73701,"516 Chisholm Crk, Enid, OK 73701","Enid, OK 73701",For Sale,240000,4,2,1930
73701,"421 Bryan Dr, Enid, OK 73701","Enid, OK 73701",For Sale,569900,5,4.5,3585
73701,"2710 Wildoak Cir, Enid, OK 73701","Enid, OK 73701",For Sale,84900,2,1,916
73701,"1723 E Broadway Ave, Enid, OK 73701","Enid, OK 73701",For Sale,159000,4,3,2816
73701,"2102 E Elm Ave, Enid, OK 73701","Enid, OK 73701",For Sale,135900,3,1.5,1983
73701,"1606 E Randolph Ave, Enid, OK 73701","Enid, OK 73701",For Sale,88000,3,1,1201
73701,"527 Okarche, Enid, OK 73701","Enid, OK 73701",For Sale,389900,4,3.5,3039
73701,"2024 E Elm Ave, Enid, OK 73701","Enid, OK 73701",For Sale,85000,5,3,2208
73701,"702 Ridgeway Dr, Enid, OK 73701","Enid, OK 73701",Pending,95000,3,2,2061
73701,"2321 E Eucalyptus Ave, Enid, OK 73701","Enid, OK 73701",For Sale,36500,3,1,1500
73701,"4500 E Chestnut, Enid, OK 73701","Enid, OK 73701",For Sale,55000,,,
73701,"616 W Cherry Ave, Enid, OK 73701","Enid, OK 73701",For Sale,15000,Studio,,
73701,"705 W Walnut Ave, Enid, OK 73701","Enid, OK 73701",For Sale,89900,3,2,962
73701,"726 N Davis St, Enid, OK 73701","Enid, OK 73701",For Sale,59900,3,1,1168
73701,"1323 E Maine Ave, Enid, OK 73701","Enid, OK 73701",For Sale,34900,2,1,696
73701,"206 E Skeleton Rd, Waukomis, OK 73701","Waukomis, OK 73701",For Sale,199900,2,2,
73701,"1753 E Maine St, Enid, OK 73701","Enid, OK 73701",For Sale,52000,2,1,1254
73701,"342 E Cottonwood Ave, Enid, OK 73701","Enid, OK 73701",Pending,49900,2,1,780
73701,"719 Ninnekah St, Enid, OK 73701","Enid, OK 73701",Pending,289900,4,2.5,2000
73701,"4807 Minco Rd, Enid, OK 73701","Enid, OK 73701",Pending,299900,4,2.5,1989
73701,"117 N Grand St, Enid, OK 73701","Enid, OK 73701",For Sale,895000,3,5.5,7500
73701,"10425 Prairie Rose Ln, Enid, OK 73701","Enid, OK 73701",For Sale,304900,3,2,1872
73701,"822 E Maple Ave, Enid, OK 73701","Enid, OK 73701",For Sale,39900,3,2,1456
73701,"3104 E Market St, Enid, OK 73701","Enid, OK 73701",For Sale,400000,4,3,
73701,"1714 N Quincy St, Enid, OK 73701","Enid, OK 73701",For Sale,124900,3,2,1410
73701,"1810 E Cherokee Ave, Enid, OK 73701","Enid, OK 73701",For Sale,49999,2,1,1048
73701,"1902 S Leona Mitchell Blvd, Enid, OK 73701","Enid, OK 73701",For Sale,65000,2,1,700
73701,"557 N Davis St, Enid, OK 73701","Enid, OK 73701",For Sale,59900,2,1,884
73701,"2017 E Broadway Ave, Enid, OK 73701","Enid, OK 73701",For Sale,111700,8,3,2111
73701,"4630 Rush Spg, Enid, OK 73701","Enid, OK 73701",Pending,328900,4,2,1992
73701,"516 E State Ave, Enid, OK 73701","Enid, OK 73701",For Sale,55000,2,1,1008
73701,"1602 S Adams St, Enid, OK 73701","Enid, OK 73701",For Sale,144900,3,2,1740
73701,"3416 N 16th St, Enid, OK 73701","Enid, OK 73701",For Sale,459900,3,2.5,3849
73701,"520 N Monroe St, Enid, OK 73701","Enid, OK 73701",For Sale,45000,2,1,1214
73701,"1705 E Birch Ave, Enid, OK 73701","Enid, OK 73701",For Sale,69000,2,1,720
73701,"1722 N Monroe St, Enid, OK 73701","Enid, OK 73701",Pending,121500,3,1.5,1212
73701,"226 W York Ave, Enid, OK 73701","Enid, OK 73701",Pending,65000,2,1,876
73701,"1613 E Cedar Ave, Enid, OK 73701","Enid, OK 73701",For Sale,48000,2,1,1152
73701,"219 Redwood St, Enid, OK 73701","Enid, OK 73701",Pending,220000,3,2,1870
73701,"1626 N Quincy St, Enid, OK 73701","Enid, OK 73701",Pending,144900,3,2,1616
73701,"1713 E Oklahoma Ave, Enid, OK 73701","Enid, OK 73701",Pending,39000,2,1,806
73701,"809 W Frantz Ave, Enid, OK 73701","Enid, OK 73701",Pending,74900,3,1,1374
73701,"801 S 42nd St, Enid, OK 73701","Enid, OK 73701",Pending,99900,2,1,1096
73701,"1126 N Washington St, Enid, OK 73701","Enid, OK 73701",Pending,129000,4,3,1835
73701,"708 W Pine Ave, Enid, OK 73701","Enid, OK 73701",Pending,158500,4,2,1688
73701,"1507 E Cherry Ave, Enid, OK 73701","Enid, OK 73701",Pending,92500,4,2,1479
73701,"Tract 3 21 5 Acres Mol, Enid, OK 73701","Enid, OK 73701",For Sale,86000,,,
73701,"213 S 18th St, Enid, OK 73701","Enid, OK 73701",For Sale,89900,2,1,810
73701,"745 N Central St, Enid, OK 73701","Enid, OK 73701",For Sale,55000,2,1,992
73701,"3321 N 4th St, Enid, OK 73701","Enid, OK 73701",For Sale,300000,Studio,0.5,1280
73701,"722 W Pine Ave, Enid, OK 73701","Enid, OK 73701",Pending,139900,3,2.5,1664
73701,"922 Harvest Dr, Enid, OK 73701","Enid, OK 73701",Pending,147000,3,2,1419
73701,"Tract 6 80 Acres Mol, Enid, OK 73701","Enid, OK 73701",For Sale,296000,,,
73701,"941 Freeland Dr, Enid, OK 73701","Enid, OK 73701",Pending,120000,3,2,1377
73701,"1817 E Birch Ave, Enid, OK 73701","Enid, OK 73701",Pending,20000,Studio,,
73701,"3230 Brooks Dr, Enid, OK 73701","Enid, OK 73701",Pending,119900,3,1.5,1257
73701,"20 Acres Mol E Highway 412, Enid, OK 73701","Enid, OK 73701",Pending,78000,,,
73701,"1922 E Locust Ave, Enid, OK 73701","Enid, OK 73701",Pending,65000,2,1,952
73701,"529 N 4th St, Enid, OK 73701","Enid, OK 73701",Pending,45000,2,1,750
42602,"2013 Highway 127, Albany, KY 42602","Albany, KY 42602",For Sale,69000,3,2,
42602,"31 Carmel Ln, Albany, KY 42602","Albany, KY 42602",For Sale,170000,2,1,1328
