Address1,Address2,Availability,Price,Beds,Baths,Sqft
"Caddo Spgs Lot 11, Clarksville, AR 72830","Clarksville, AR 72830",For Sale,15000,,,
"18 The Pointe, Sanford, NC 27332","Sanford, NC 27332",For Sale,124900,,,
"Smith Chapel Dr Lot 5, Shelbyville, TN 37160","Shelbyville, TN 37160",For Sale,129000,,,
"336 Brees St, Waterloo, IA 50703","Waterloo, IA 50703",Pending,124500,3,1.5,1172
"7068 Rivermere Ln, Glen Allen, VA 23059","Glen Allen, VA 23059",Pending,429750,3,2.5,1968
"2805 Catfish Bay Rd, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,1700000,3,2,1644
"12668 Greenwood Rd, Glen Allen, VA 23059","Glen Allen, VA 23059",Pending,799950,5,3.5,3555
"560 Labrador Dr, Bowling Green, KY 42101","Bowling Green, KY 42101",For Sale,244900,3,2,1430
"4152 W Cullom Ave, Chicago, IL 60641","Chicago, IL 60641",Contingent,725000,4,3.5,
"1438 Demaree Ln, Houston, TX 77029","Houston, TX 77029",For Sale,175000,3,2,1342
"113 County Road 1844, Carthage, TX 75633","Carthage, TX 75633",For Sale,259900,2,2,1732
"813 Mechanic St, Emporia, KS 66801","Emporia, KS 66801",For Sale,29900,5,2,2346
"336 Hurricane Grove Rd, Shelbyville, TN 37160","Shelbyville, TN 37160",For Sale,745000,,,
"97 Skycroft Dr, Sanford, NC 27332","Sanford, NC 27332",Pending,499900,5,3.5,3739
"1260 Shallowford St Lot 158, Bowling Green, KY 42101","Bowling Green, KY 42101",For Sale,269900,3,2,1290
"20608 Carroll Rd, Morrison, IL 61270","Morrison, IL 61270",For Sale,349900,4,3,2866
"2711 Skyline Dr, Russellville, AR 72802","Russellville, AR 72802",Pending,140000,3,2,2140
"21273 Atlantic Ave, Warren, MI 48091","Warren, MI 48091",For Sale,110000,3,1,1000
"S Holiness Church Rd, Wilkesboro, NC 28697","Wilkesboro, NC 28697",For Sale,115000,,,
"106 Shalyn Pl, Holcomb, KS 67851","Holcomb, KS 67851",Pending,397000,4,3,1625
"391 County Road 3239, Clarksville, AR 72830","Clarksville, AR 72830",For Sale,399900,3,2,1962
"2119 Detroit Blvd, Sanford, NC 27332","Sanford, NC 27332",Pending,295000,3,2,1624
"133 Paseo Del Rio, Seguin, TX 78155","Seguin, TX 78155",Pending,649900,3,2.5,3040
"362 Anna Gray Cir Lot 37, Easley, SC 29640","Easley, SC 29640",For Sale,328000,4,3,
"329 Alfred Ave SE, Rome, GA 30161","Rome, GA 30161",Pending,148000,3,1.5,1203
"52 Forest Mountain Ct, Sanford, NC 27332","Sanford, NC 27332",Pending,320000,3,2.5,2537
"3837 N Long Ave, Chicago, IL 60641","Chicago, IL 60641",For Sale,849900,6,4,4200
"Moore Dr, Jackson, MS 39204","Jackson, MS 39204",For Sale,595000,3,2,
"Telegraph Rd, Amherst, OH 44001","Amherst, OH 44001",For Sale,149900,,,
"2 Sweet Apple Trl, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,698000,2,2,1500
"Santiago - 2394 Plan, Hiddenbrooke CommunitySeguin, TX","Seguin, TX",For Sale,From330990,4,3,2394
"409 N B St, Easley, SC 29640","Easley, SC 29640",For Sale,695000,5,4,
"2354 Saluda Dam Rd, Easley, SC 29640","Easley, SC 29640",Contingent,699900,5,3,
"1119 Griffin Mill Rd, Easley, SC 29640","Easley, SC 29640",For Sale,489000,4,2.5,
"1010 S Ingram St, Madison, NE 68748","Madison, NE 68748",For Sale,15000,,,
"4910 W Waveland Ave, Chicago, IL 60641","Chicago, IL 60641",Contingent,425000,3,2.5,
"2672 Stonegate Dr, Henderson, KY 42420","Henderson, KY 42420",For Sale,379900,3,2.5,2708
"967 Horse Mountain Rd Unit 11B, Shelbyville, TN 37160","Shelbyville, TN 37160",For Sale,319900,4,2.5,1973
"7101 US Highway 421 W, Wilkesboro, NC 28697","Wilkesboro, NC 28697",For Sale,799000,,,
"3624 Marshall St, Vernon, TX 76384","Vernon, TX 76384",For Sale,45000,2,1,980
"Houghton Plan, Cordova Crossing CommunitySeguin, TX","Seguin, TX",For Sale,From338999,4,2,1699
"717A Grove St, Vicksburg, MS 39183","Vicksburg, MS 39183",For Sale,495000,2,2.5,1825
"1042 River Overlook Loop, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,25000,,,
"Kishell Plan, HomeTown Cottage CommunityNorth Richland Hills, TX","North Richland Hills, TX",For Sale,From642990,4,4,2418
"5060 S Santa Clara Rd, Seguin, TX 78155","Seguin, TX 78155",For Sale,1010000,4,2,1921
"265 Southern Sunrise, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,183230,,,
"Meadow Hill Ln Lot 8, Sherman, TX 75090","Sherman, TX 75090",For Sale,78000,,,
"1815 E 7th St, Sedalia, MO 65301","Sedalia, MO 65301",Pending,39900,3,1,1053
"262 Shrouder Rd, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,750000,5,3.5,2792
"Nob Hl and Beartrap, Springdale, AR 72764","Springdale, AR 72764",For Sale,1300000,,,
"10441 Madonna Dr, Alexandria, KY 41001","Alexandria, KY 41001",Pending,269900,4,2,1196
"1815 Kingsbury Dr, Cumming, GA 30040","Cumming, GA 30040",Pending,660000,5,4,3248
"222 E Compass Way, Easley, SC 29640","Easley, SC 29640",Pending,234000,3,2.5,
"4955 S 143rd St, Omaha, NE 68137","Omaha, NE 68137",Pending,245000,3,2,1232
"11456 Highway 21, Clarksville, AR 72830","Clarksville, AR 72830",For Sale,659900,4,2.5,3400
"Oak Pointe Ln Lot 4, Wilkesboro, NC 28697","Wilkesboro, NC 28697",For Sale,80000,,,
"417 Bishop Dr, Easley, SC 29640","Easley, SC 29640",Contingent,299900,4,2,
"2415 Olive St, Saint Joseph, MO 64507","Saint Joseph, MO 64507",For Sale,110000,3,1.5,1888
"The Pearson Plan, Brantley Place CommunitySanford, NC","Sanford, NC",For Sale,From291900,3,2,1701
"1931 Wartrace Pike, Shelbyville, TN 37160","Shelbyville, TN 37160",For Sale,250000,,,
"4630 Rush Spg, Enid, OK 73701","Enid, OK 73701",For Sale,328900,4,2,1992
"Peevy Ln, Broken Bow, OK 74728","Broken Bow, OK 74728",Pending,149000,,,
"115 Edgewater Dr, Vicksburg, MS 39183","Vicksburg, MS 39183",For Sale,349900,3,2.5,2450
"421 Bridlewood Path, Seguin, TX 78155","Seguin, TX 78155",Pending,229000,3,2,1569
"1423 N 19th St, Fort Smith, AR 72901","Fort Smith, AR 72901",For Sale,55000,4,1,1136
"929 Walnut St, Emporia, KS 66801","Emporia, KS 66801",For Sale,149900,2,1,976
"96 McGee Chappel Cir, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,125000,3,1,960
"7162 County Road 111 N, Vernon, TX 76384","Vernon, TX 76384",For Sale,532110,3,1,1995
"146 Paradise Ln, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,570000,2,2,1341
"227 Hallmark Cir, Easley, SC 29640","Easley, SC 29640",For Sale,339000,4,2.5,
"Estate Fieldstone Dr Lot 8, Wilkesboro, NC 28697","Wilkesboro, NC 28697",For Sale,134900,,,
"92 Bachelor Blvd Trl, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,205740,,,
"100 Delane Flora Rd, Bowling Green, KY 42101","Bowling Green, KY 42101",For Sale,549900,3,2,2275
"3428 Avenue C, Council Bluffs, IA 51501","Council Bluffs, IA 51501",For Sale,210000,3,3,2340
"700 Turrentine Way, Russellville, AR 72802","Russellville, AR 72802",Pending,565000,4,3,4225
"Highway 32 E, Hope, AR 71801","Hope, AR 71801",For Sale,150000,,,
"23860 Eureka Ave, Warren, MI 48091","Warren, MI 48091",For Sale,209900,3,2,1356
"105 Pike Ln, Russellville, AR 72802","Russellville, AR 72802",Pending,240000,3,2,1792
"101 Pointer Dr, Albertville, AL 35950","Albertville, AL 35950",For Sale,25000,,,
"1519 W 5th Ave, Emporia, KS 66801","Emporia, KS 66801",For Sale,125000,3,2,1324
"9016 Highway 152W, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,350000,4,2,2440
"409 Liberty St, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,51000,1,1,624
"3201 Argyll Dr, Sanford, NC 27332","Sanford, NC 27332",For Sale,24500,,,
"N Macarthur Dr Lot 1, Camilla, GA 31730","Camilla, GA 31730",For Sale,10000,,,
"W Main St, Alexandria, KY 41001","Alexandria, KY 41001",For Sale,70000,,,
"264 E Compass Way, Easley, SC 29640","Easley, SC 29640",For Sale,234000,3,2.5,1634
"Tbd River Overlook Cir, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,55000,,,
"5703 Patmos Rd, Hope, AR 71801","Hope, AR 71801",For Sale,359900,3,2,1959
"7617 Devonshire Dr, Alexandria, KY 41001","Alexandria, KY 41001",Pending,309984,2,2,1931
"HIALEAH Plan, Timber Creek Woods CommunityAlexandria, KY","Alexandria, KY",For Sale,From450800,2,2,1987
"11100 Quail Roost Ct, Glen Allen, VA 23059","Glen Allen, VA 23059",Pending,349950,3,2,1452
"5445 Wildwood Rd, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,83500,2,1,638
"1553 N Sunrise Dr, Bowling Green, KY 42101","Bowling Green, KY 42101",Pending,129900,2,1,770
"12067 W State Highway 22, Dardanelle, AR 72834","Dardanelle, AR 72834",For Sale,193500,4,2,1664
"3230 Brooks Dr, Enid, OK 73701","Enid, OK 73701",Pending,119900,3,1.5,1257
"502 W Walnut St, Lexington, NE 68850","Lexington, NE 68850",Pending,119500,2,1,728
"801 S Adams Pl, Mount Pleasant, IA 52641","Mount Pleasant, IA 52641",For Sale,170000,3,1.5,880
"3047 Creek Run, Sanford, NC 27332","Sanford, NC 27332",For Sale,400000,3,2.5,2627
"Private Rd, Carthage, TX 75633","Carthage, TX 75633",For Sale,149999,,,
"3704 Delfaire Trce, Cumming, GA 30040","Cumming, GA 30040",For Sale,395000,2,2,1690
"104 Tigerfish Loop, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,445000,3,2,1900
"Western Ave, Logansport, IN 46947","Logansport, IN 46947",For Sale,4500,,,
"19620 Sherry Rd, Springdale, AR 72764","Springdale, AR 72764",Pending,200000,2,1,972
"608 N Central Ave, Monett, MO 65708","Monett, MO 65708",Pending,100000,2,1.5,1421
"Sec 05 Twp 5 S Rng 10 Rd W, White Hall, AR 71602","White Hall, AR 71602",For Sale,1100000,,,
"4623 Post Rd, Cumming, GA 30040","Cumming, GA 30040",For Sale,552500,3,2,1168
"14 Ravenshoe Rd, Rogers, AR 72756","Rogers, AR 72756",For Sale,875000,4,3,3675
"246 Lakeview Dr, Sanford, NC 27332","Sanford, NC 27332",For Sale,1200000,4,4.5+,5159
"221006 E Bryson Brown Rd, Kennewick, WA 99337","Kennewick, WA 99337",Pending,329900,3,2,1733
"183 Stonegate Dr, Carthage, TX 75633","Carthage, TX 75633",For Sale,425000,3,2,2464
"21 Guppy Ln, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,699000,2,3,1368
"613 N Ray Rd, Clarksville, AR 72830","Clarksville, AR 72830",Pending,229000,3,2,
"2418 Brixton Dr, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,89000,3,2,1680
"1008 Betsy Dr, Seguin, TX 78155","Seguin, TX 78155",For Sale,282140,4,2,1788
"407 Rena Rd, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,524900,,,4489
"166 Windflower Bnd, Dakota Dunes, SD 57049","Dakota Dunes, SD 57049",For Sale,389000,4,3,2785
"420 Cordova Ter, Seguin, TX 78155","Seguin, TX 78155",For Sale,348999,4,3,2304
"625 E Third St Unit 11, Rome, GA 30161","Rome, GA 30161",Pending,369000,3,2.5,1659
"301 S E St, Easley, SC 29640","Easley, SC 29640",Contingent,169900,2,1,
"NW Hidden Pines Loop Lot 31, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,158000,,,
"1722 Otley Ave, Perry, IA 50220","Perry, IA 50220",For Sale,199900,4,1.5,1622
"227 W 15th Ave, Bowling Green, KY 42101","Bowling Green, KY 42101",For Sale,89900,4,2,1733
"1406 W Broadway Blvd, Sedalia, MO 65301","Sedalia, MO 65301",For Sale,229900,4,3,2692
"Bill Clinton Dr, Hope, AR 71801","Hope, AR 71801",For Sale,55000,,,
"2741 Blacks Bluff Rd SW, Rome, GA 30161","Rome, GA 30161",For Sale,49900,,,
"2913 E Broadway Blvd, Sedalia, MO 65301","Sedalia, MO 65301",For Sale,900000,,,
"Walden Woods Loop Lot 14, Eufaula, AL 36027","Eufaula, AL 36027",For Sale,125000,,,
"Kelly Hill Dr, Wilkesboro, NC 28697","Wilkesboro, NC 28697",Pending,34900,,,
"5020 Barrier Pl, Jackson, MS 39204","Jackson, MS 39204",For Sale,40000,3,2,1688
"217 Tolbert St, Cumming, GA 30040","Cumming, GA 30040",For Sale,500000,5,2,2578
"515 W Oak St, Dexter, MO 63841","Dexter, MO 63841",For Sale,165000,4,3,1596
"Hampton Dr Lot S, Seguin, TX 78155","Seguin, TX 78155",For Sale,175000,,,
"7031 Rivard Ave, Warren, MI 48091","Warren, MI 48091",For Sale,127500,3,1,943
"381 Standard Ave, Bowling Green, KY 42101","Bowling Green, KY 42101",Pending,239990,3,2,1462
"5812 Bottomley Pl, Glen Allen, VA 23059","Glen Allen, VA 23059",For Sale,1050000,5,4.5,5084
"2156 W Million Ln, Fayetteville, AR 72704","Fayetteville, AR 72704",For Sale,290000,2,2.5,1573
"1473 N Pointe Dr, Bowling Green, KY 42101","Bowling Green, KY 42101",Pending,229900,3,2,1367
"212 Kestrel Ct, Council Bluffs, IA 51501","Council Bluffs, IA 51501",Contingent,275000,3,2,1474
"720 Shannon Ave, Seguin, TX 78155","Seguin, TX 78155",For Sale,124900,2,1,720
"1 Peachtree Pl, Sherman, TX 75090","Sherman, TX 75090",Pending,257000,3,2,1838
"Oakmont Dr, Rome, GA 30161","Rome, GA 30161",For Sale,55000,,,
"35.39 Ac S Expressway / Vet Mem Hwy, Council Bluffs, IA 51501","Council Bluffs, IA 51501",For Sale,6166353,,,
"7647 Lawrence 2210, Monett, MO 65708","Monett, MO 65708",Pending,389000,4,2,1976
"213 Nursery Rd, Easley, SC 29640","Easley, SC 29640",Contingent,305000,4,3,
"Highway 369 Hwy N, Nashville, AR 71852","Nashville, AR 71852",For Sale,375500,,,
"2813 S 12th St, Fort Smith, AR 72901","Fort Smith, AR 72901",For Sale,110000,,,1277
"27 Fat Bass Trl, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,300900,,,
"Robin Hood Dr, Rome, GA 30161","Rome, GA 30161",For Sale,10000,,,
"Pennsylvania Ave, Sanford, NC 27332","Sanford, NC 27332",Pending,15000,,,
"1521 Woodhaven St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,225000,3,1.5,2522
"County 187 Rd Lot 9, Carthage, TX 75633","Carthage, TX 75633",Pending,75000,,,
"330 E State St Unit 206, Traverse City, MI 49684","Traverse City, MI 49684",Pending,353323,1,1.5,792
"E8088 Wood Way Lot 2, New London, WI 54961","New London, WI 54961",For Sale,27900,,,
"108 W Neal St, Carthage, TX 75633","Carthage, TX 75633",Pending,184900,3,2,1468
"2838 S 26th St, Kansas City, KS 66106","Kansas City, KS 66106",Pending,165000,3,1,960
"525 Fifth St, Traverse City, MI 49684","Traverse City, MI 49684",For Sale,425000,3,1,1957
"3848 Far Horizon, Seguin, TX 78155","Seguin, TX 78155",For Sale,342999,4,2,1874
"7520 Dornoch Ln, Alexandria, KY 41001","Alexandria, KY 41001",Pending,369900,3,3,
"2652 Red Rd, Howe, TX 75090","Howe, TX 75090",For Sale,485000,,,
"625 S Benchmark Ln, Fayetteville, AR 72704","Fayetteville, AR 72704",Pending,342350,3,2,1670
"1312 E 2nd St E, Rome, GA 30161","Rome, GA 30161",For Sale,130000,3,1,
"1725 County Road 548, Hanceville, AL 35077","Hanceville, AL 35077",For Sale,330000,5,4,2646
"Tbd River Overlook Loop, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,28500,,,
"52 Legacy Mountain Trl, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,193725,,,
"2578 9 1/2th St, East Moline, IL 61244","East Moline, IL 61244",Contingent,245000,4,2.5,1966
"25164 Cunningham Ave, Warren, MI 48091","Warren, MI 48091",Pending,209000,3,1.5,1200
"Winstar Plan, McLellan Crossings CommunityBowling Green, KY","Bowling Green, KY",For Sale,From294900,3,2,1513
"1733 Avenue D, Council Bluffs, IA 51501","Council Bluffs, IA 51501",For Sale,205000,2,1,1452
"Oak Gables Dr, Wilkesboro, NC 28697","Wilkesboro, NC 28697",For Sale,25000,,,
"351 Forest Brook Loop, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,127000,,,
"5820 Geronimo Vis, Seguin, TX 78155","Seguin, TX 78155",Pending,289999,3,2,1910
"13 Meadow Pl, Clarksville, AR 72830","Clarksville, AR 72830",Pending,19900,,,
"1021 Old Center Church Rd, Shelbyville, TN 37160","Shelbyville, TN 37160",For Sale,669000,4,2.5+,2928
"48 Key Rd, Sherman, TX 75090","Sherman, TX 75090",Contingent,275000,3,2,1456
"Winchester Plan, The Pointe at Twin Hickory CommunityGlen Allen, VA","Glen Allen, VA",For Sale,From465950,3,2,1954
"Tbd Rosebud Ln, Rogers, AR 72756","Rogers, AR 72756",For Sale,139900,,,
"86 N Carter Pass Trl, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,164565,,,
"837 Gerardia Ct, Seguin, TX 78155","Seguin, TX 78155",Pending,266490,3,2,1409
"722 W Pine Ave, Enid, OK 73701","Enid, OK 73701",For Sale,139900,3,2.5,1664
"Linden Ln, Rogers, AR 72756","Rogers, AR 72756",Pending,12000,,,
"1207 Sunrise Dr, Norfolk, NE 68701","Norfolk, NE 68701",For Sale,435000,5,3,2901
"N Central Ave, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,99900,,,
"326 Tite St, Houston, TX 77029","Houston, TX 77029",For Sale,224500,2,2,1119
"2767 W Cottonwillow Way, Fayetteville, AR 72704","Fayetteville, AR 72704",Pending,260000,2,2.5,1240
"County Road 2361, Clarksville, AR 72830","Clarksville, AR 72830",Pending,124900,,,
"7913 Lynda Ln, North Richland Hills, TX 76180","North Richland Hills, TX 76180",Pending,320000,4,2,1935
"416 Skyline Dr, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,244000,4,2.5,2053
"5429 W Berenice Ave, Chicago, IL 60641","Chicago, IL 60641",Contingent,345000,5,2.5,
"134 Vincent Rd, Dixon, KY 42409","Dixon, KY 42409",Pending,349900,3,2,1980
"109 Stanridge Ct, Easley, SC 29640","Easley, SC 29640",For Sale,975000,5,4.5,
"124 Calhoun St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,4000,,,
"6317 Logan Ave, Waterloo, IA 50703","Waterloo, IA 50703",For Sale,299500,4,2,2646
"Bluff Mountain Rd, Rome, GA 30161","Rome, GA 30161",For Sale,24900,,,
"228 Midtown Dr Unit 36, Traverse City, MI 49684","Traverse City, MI 49684",Pending,365000,2,1.5,1032
"375 E Camellia Dr, Camilla, GA 31730","Camilla, GA 31730",For Sale,119000,3,2,1537
"173 Wyr 55000 Rd, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,3300000,4,3,3700
"808 11th St, Rogers, AR 72756","Rogers, AR 72756",Pending,210000,3,1.5+,1602
"135 1/2 Chewalla Cir, Eufaula, AL 36027","Eufaula, AL 36027",For Sale,660000,3,2.5,2403
"28754 Quisenberry Rd, Sedalia, MO 65301","Sedalia, MO 65301",For Sale,220000,,,
"703 Grove St, Perry, IA 50220","Perry, IA 50220",Pending,142000,3,1,1118
"2306 El Rhea Dr, Seguin, TX 78155","Seguin, TX 78155",For Sale,330000,,,2152
"Apple Ln Lot 3, Russellville, AR 72802","Russellville, AR 72802",For Sale,75000,,,
"1206 Old Orchard Dr, Monett, MO 65708","Monett, MO 65708",Pending,244900,3,2,1814
"427 Polk Road 21, Cove, AR 71937","Cove, AR 71937",For Sale,110000,2,2,1184
"2127W Plan, The Village of Mill Creek 50' CommunitySeguin, TX","Seguin, TX",For Sale,From403900,3,2,2127
"3450 Pasofino Loop, Springdale, AR 72764","Springdale, AR 72764",For Sale,633500,4,4,3346
"3209 High Meadow St, Seguin, TX 78155","Seguin, TX 78155",For Sale,448900,4,3,2351
"Penny Ln Lot 2, Albany, KY 42602","Albany, KY 42602",For Sale,12000,,,
"2825 Molly Pop Ln, Monroe, NC 28112","Monroe, NC 28112",Contingent,485000,5,3.5,2413
"1017 S E St, Rogers, AR 72756","Rogers, AR 72756",Pending,215000,2,2,1008
"513 Second St, Traverse City, MI 49684","Traverse City, MI 49684",For Sale,1225000,4,3.5,2758
"1653 W 20th Park Pl, Emporia, KS 66801","Emporia, KS 66801",Pending,395000,4,3,3689
"10391 Burroughs Town Ln Unit W17, Glen Allen, VA 23059","Glen Allen, VA 23059",For Sale,513810,3,3,2164
"5205 Playa Dr, Sherman, TX 75090","Sherman, TX 75090",Pending,529000,4,3,2363
"3764 W Violet St, Fayetteville, AR 72704","Fayetteville, AR 72704",Pending,499480,4,3.5,2607
"Selsey Plan, Guadalupe Heights - Watermill Collection CommunitySeguin, TX","Seguin, TX",For Sale,From336999,4,2.5,1874
"35 Kingfisher Trl, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,718000,3,2.5,1686
"2533 Orchard St, Jacksonville, FL 32254","Jacksonville, FL 32254",For Sale,160000,2,1,780
"1102 Abbey Ave, Monett, MO 65708","Monett, MO 65708",For Sale,250000,4,2,1565
"3307 W Howard Nickell Rd, Fayetteville, AR 72704","Fayetteville, AR 72704",Pending,595000,5,3,2660
"12 Enzweiler Rd, Alexandria, KY 41001","Alexandria, KY 41001",For Sale,20000000,2,1,
"E Bigger St, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,15000,,,
"15 Meadow Pl, Clarksville, AR 72830","Clarksville, AR 72830",For Sale,19900,,,
"The Hadley Plan, Prairie Winds CommunityZeeland, MI","Zeeland, MI",For Sale,From428000,4,2.5,2373
"2869 McCoys Creek Blvd, Jacksonville, FL 32254","Jacksonville, FL 32254",Pending,92000,3,1,884
"Auburn Mill Rd, Glen Allen, VA 23059","Glen Allen, VA 23059",For Sale,365000,,,
"408 Florence Ct, Holcomb, KS 67851","Holcomb, KS 67851",For Sale,274675,4,3,1238
"Moss Creek Dr Lot 64, Rome, GA 30161","Rome, GA 30161",For Sale,24900,,,
"3112 Coral Way, Seguin, TX 78155","Seguin, TX 78155",For Sale,564900,5,4,3008
"E Pacific, Sherman, TX 75090","Sherman, TX 75090",For Sale,40000,,,
"The Naples Plan, Swenson Heights CommunitySeguin, TX","Seguin, TX",For Sale,From319990,4,3,2275
"228 N West End St, Springdale, AR 72764","Springdale, AR 72764",For Sale,176000,2,1,875
"5236 W Newport Ave, Chicago, IL 60641","Chicago, IL 60641",For Sale,535000,3,3,2300
"2109 Tv Rd, Jackson, MS 39204","Jackson, MS 39204",For Sale,15000,3,1,1176
"330 S 10th St, Council Bluffs, IA 51501","Council Bluffs, IA 51501",Pending,149900,3,1.5,1466
"4710 Trefoil Path, Cumming, GA 30040","Cumming, GA 30040",Pending,483325,5,5,2511
"Stack Rd Lot 1, Monroe, NC 28112","Monroe, NC 28112",For Sale,49900,,,
"4942 S 128th St, Omaha, NE 68137","Omaha, NE 68137",Pending,260000,4,2,2312
"Tract 5 Dresden Rd, Sedalia, MO 65301","Sedalia, MO 65301",For Sale,114640,,,
"906 E Knolls St, Norfolk, NE 68701","Norfolk, NE 68701",For Sale,369900,4,3,3275
"1315 S 20th St, Saint Joseph, MO 64507","Saint Joseph, MO 64507",For Sale,18000,,,
"272 Wheel Rd, Shelbyville, TN 37160","Shelbyville, TN 37160",For Sale,609000,3,3,2800
"102 Roseway Cir NE, Rome, GA 30161","Rome, GA 30161",For Sale,109000,2,1,1077
"2603 E 23rd St, Hope, AR 71801","Hope, AR 71801",Pending,210000,3,3,2254
"803 Ellare St, Dexter, MO 63841","Dexter, MO 63841",For Sale,179900,3,3,2160
"2684 Bradford Pear Ln, Union City, TN 38261","Union City, TN 38261",For Sale,229000,3,2,1672
"2744 Avenue B, Council Bluffs, IA 51501","Council Bluffs, IA 51501",Pending,110000,1,2,1117
"Barbecue Church Rd, Sanford, NC 27332","Sanford, NC 27332",For Sale,264000,,,
"6504 Cimarron Dr, White Hall, AR 71602","White Hall, AR 71602",Contingent,149500,3,2,1210
"314 Meadow St, Rainbow City, AL 35906","Rainbow City, AL 35906",For Sale,175900,3,2,1245
"3830 and 3884 S Old Missouri Rd, Springdale, AR 72764","Springdale, AR 72764",For Sale,750000,,,
"4465 Alister Park Dr, Cumming, GA 30040","Cumming, GA 30040",Pending,1250000,6,6,6449
"208 W Dodson St, Nashville, AR 71852","Nashville, AR 71852",For Sale,89900,2,1,896
"8 Eagle Point Dr Lot 8, Albany, KY 42602","Albany, KY 42602",For Sale,139000,,,
"11047 Dairybarn Ln, Alexandria, KY 41001","Alexandria, KY 41001",For Sale,552193,4,2,2755
"2588 N Justin Dr, Fayetteville, AR 72704","Fayetteville, AR 72704",For Sale,429900,3,2.5,2543
"01 S Pearl St, Carthage, MS 39051","Carthage, MS 39051",For Sale,75000,,,
"Asher Ln Lot 2, Zeeland, MI 49464","Zeeland, MI 49464",For Sale,325000,,,
"44 Brooke Ct, Rome, GA 30161","Rome, GA 30161",For Sale,293000,4,2.5,2372
"69 No Knot Ct, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,950000,2,2.5,1673
"7059 Farm Road 1100, Monett, MO 65708","Monett, MO 65708",For Sale,685000,3,2.5,1454
"1108 N 25th St, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,182500,3,2,1443
"25852 Curie Ave, Warren, MI 48091","Warren, MI 48091",For Sale,269900,4,2.5,2140
"2901 Greenbriar, Seguin, TX 78155","Seguin, TX 78155",For Sale,367593,4,3,2188
"1346 Ohio Ln, Sanford, NC 27332","Sanford, NC 27332",For Sale,355000,3,2,1675
"3330 Paradise St, Vernon, TX 76384","Vernon, TX 76384",For Sale,260000,5,2,2162
"11300 Bertrand Rd, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,195000,3,2,1858
"802 Nella Dr, Goodlettsville, TN 37072","Goodlettsville, TN 37072",For Sale,550000,6,3.5,3536
"Ridgemont Ave, Monett, MO 65708","Monett, MO 65708",For Sale,99500,,,
"1400 Bethlehem Church Rd, Shelbyville, TN 37160","Shelbyville, TN 37160",Contingent,219900,1,1,588
"Revere Rd Lot 1, Carthage, MS 39051","Carthage, MS 39051",For Sale,33750,,,
"83 County Road 937, Green For, AR 72638","Green For, AR 72638",Pending,350000,3,3,1290
"35 Pear St, Rome, GA 30161","Rome, GA 30161",For Sale,415000,2,2.5,1699
"23 Double Oak Dr, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,504000,2,2,560
"Armstrong St, Houston, TX 77029","Houston, TX 77029",For Sale,52000,,,
"12778 Highway 21 S, Berryville, AR 72616","Berryville, AR 72616",For Sale,199000,3,2,1568
"12205 S West Bay Shore Dr, Traverse City, MI 49684","Traverse City, MI 49684",For Sale,3900000,5,3.5,5049
"1341 SW 40th St, Pendleton, OR 97801","Pendleton, OR 97801",For Sale,395000,4,2,1895
"The Huntley Plan, Stonebridge Fairways CommunityMonroe, NC","Monroe, NC",For Sale,From436400,3,2.5,2627
"15569 Putman Rd, Rogers, AR 72756","Rogers, AR 72756",For Sale,345000,3,2,2303
"250 Nicole Dr, Caseyville, IL 62232","Caseyville, IL 62232",Contingent,317775,4,2.5,2030
"1213 N Front St, Dardanelle, AR 72834","Dardanelle, AR 72834",Pending,104500,2,1,1328
