TysonZip,Address1,Address2,Style,Price,Beds,Baths,Sqft
42101,1546 Chestnut St,"Bowling Green, KY 42101",Apartment,1200,2,1,
42101,170 Enterprise Ct,"Bowling Green, KY 42101",Apartment,800,1,1,683
42101,1799 Russellville Rd,"Bowling Green, KY 42101",Apartment,990,1,1,546
42101,1799 Russellville Rd,"Bowling Green, KY 42101",Apartment,2140,4,2,1393
42101,904 Cabell Dr,"Bowling Green, KY 42101",House,800,3,1,
42101,132 Pebble Ct,"Bowling Green, KY 42101",House,950,2,1.5,1140
42101,2220 Hickory St,"Bowling Green, KY 42101",Apartment,1050,2,2,957
42101,2220 Hickory St,"Bowling Green, KY 42101",Apartment,1100,2,2,957
42101,2236 Hickory St,"Bowling Green, KY 42101",Apartment,1050,2,2,957
42101,122 Pebble Ct,"Bowling Green, KY 42101",House,950,2,1.5,1147
42101,1271 Kentucky St,"Bowling Green, KY 42101",Other,Contact For Price,,,
42101,508 Wren Rd,"Bowling Green, KY 42101",House,1300,3,1,1125
42101,560 Labrador Dr,"Bowling Green, KY 42101",House,1825,3,2,1430
42101,1625 Parkside Dr,"Bowling Green, KY 42101",Apartment,600,1,1,
42101,4487 Wilford Ln Unit B,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
42101,4490 Wilford Ln Unit B,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
42101,255 Walnut Creek Ct Unit 255,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
42101,4548 Wal Valley Way Unit B,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
42101,4451 Wilford Ln Unit B,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
42101,213 Walnut Creek Ct Unit 213,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
42101,261 Walnut Creek Ct Unit 261,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
42101,112 Walnut Creek Ct Unit 112,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
42101,134 Westwood Cir Apt C,"Bowling Green, KY 42101",Condo/Townhome,950,2,2,1100
42101,3213 S Oak St Unit 1,"Bowling Green, KY 42101",House,2650,3,3,2000
42101,367 Upper Stone Ave Apt C,"Bowling Green, KY 42101",Apartment,790,1,1,800
42101,559 Walnut Creek Dr Unit 559,"Bowling Green, KY 42101",Townhome,1450,3,2.5,1300
42101,100 Walnut Creek Ct Unit 100,"Bowling Green, KY 42101",Townhome,1450,3,2.5,1300
42101,4527 Wal Valley Way Unit B,"Bowling Green, KY 42101",Townhome,1550,3,2.5,1350
42101,124 Walnut Creek Ct Unit 124,"Bowling Green, KY 42101",Townhome,1450,3,2.5,1350
42101,517 White Dogwood Dr,"Bowling Green, KY 42101",House,1895,3,2,1871
42101,505 White Dogwood Dr,"Bowling Green, KY 42101",House,1895,3,2,1871
42101,324 Gatewood Ave,"Bowling Green, KY 42101",House,1800,4,2,1585
42101,218 Kelly Rd Unit K74,"Bowling Green, KY 42101",Apartment,745,1,1,630
42101,4485 Wal Valley Way Unit A,"Bowling Green, KY 42101",Townhome,1550,3,2.5,1300
42101,324 Walnut Creek Ct Unit 324,"Bowling Green, KY 42101",Townhome,1450,3,2.5,1300
42101,218 Kelly Rd Unit J63,"Bowling Green, KY 42101",Apartment,775,1,1,630
42101,312 Cedar Hollow Dr Unit 1,"Bowling Green, KY 42101",House,1750,3,2,1450
42101,4497 Wal Valley Way Unit A,"Bowling Green, KY 42101",Townhome,1550,3,2.5,1350
42101,377 Cedar Run St,"Bowling Green, KY 42101",House,1750,3,2,1375
42101,1411 High St # 111-1,"Bowling Green, KY 42101",Other,2100,4,2,
42101,,,Apartment,600,1,1,
42101,6002 Russellville Rd,"Bowling Green, KY 42101",Apartment,825,1,1,695
42101,1555 Chestnut St,"Bowling Green, KY 42101",Apartment,699,1,1,
42101,6541 Fortuna Ct,"Bowling Green, KY 42101",Other,1795,3,2,1319
42101,324 Gatewood Ave,"Bowling Green, KY 42101",House,1800,4,2,1585
42101,6002 Russellville Rd Apt 521,"Bowling Green, KY 42101",Apartment,825,1,1,625
42101,6002 Russellville Rd Apt 223,"Bowling Green, KY 42101",Apartment,825,1,1,625
42101,429 Upper Stone Ave Apt C,"Bowling Green, KY 42101",Apartment,875,2,2,850
42101,6002 Russellville Rd # 621,"Bowling Green, KY 42101",Apartment,825,1,1,625
42101,6002 Russellville Rd # 622,"Bowling Green, KY 42101",Apartment,825,1,1,625
42101,260 Walnut Creek Dr Apt B09,"Bowling Green, KY 42101",Apartment,875,2,2,936
42101,6002 Russellville Rd Apt 224,"Bowling Green, KY 42101",Apartment,825,1,1,625
42101,6002 Russellville Rd # 624,"Bowling Green, KY 42101",Apartment,825,1,1,625
42101,6002 Russellville Rd # 524,"Bowling Green, KY 42101",Apartment,825,1,1,625
42101,6002 Russellville Rd # 623,"Bowling Green, KY 42101",Apartment,825,1,1,625
42101,4487 Wilford Ln Unit B,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
42101,4490 Wilford Ln Unit B,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
42101,261 Walnut Creek Ct Unit 261,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
42101,255 Walnut Creek Ct Unit 255,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
42101,4451 Wilford Ln Unit B,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
42101,4548 Wal Valley Way Unit B,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
42101,213 Walnut Creek Ct Unit 213,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
42101,112 Walnut Creek Ct Unit 112,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
42101,559 Walnut Creek Dr Unit 559,"Bowling Green, KY 42101",Townhome,1450,3,2.5,1300
42101,100 Walnut Creek Ct Unit 100,"Bowling Green, KY 42101",Townhome,1450,3,2.5,1300
42101,4527 Wal Valley Way Unit B,"Bowling Green, KY 42101",Townhome,1550,3,2.5,1350
42101,4497 Wal Valley Way Unit A,"Bowling Green, KY 42101",Townhome,1550,3,2.5,1350
42101,124 Walnut Creek Ct Unit 124,"Bowling Green, KY 42101",Townhome,1450,3,2.5,1350
42101,4485 Wal Valley Way Unit A,"Bowling Green, KY 42101",Townhome,1550,3,2.5,1300
42101,324 Walnut Creek Ct Unit 324,"Bowling Green, KY 42101",Townhome,1450,3,2.5,1300
42101,2363 Foxridge Ct Apt 522,"Bowling Green, KY 42101",Apartment,825,1,1,695
42101,218 Kelly Rd Unit J63,"Bowling Green, KY 42101",Apartment,775,1,1,630
42101,218 Kelly Rd Unit K74,"Bowling Green, KY 42101",Apartment,745,1,1,630
42101,2706 Torridge Ave # 2706-14,"Bowling Green, KY 42101",Apartment,615,1,1,600
42101,210 Creekwood Ave Apt B,"Bowling Green, KY 42101",Apartment,1250,2,2,1214
42101,6068 Louisville Rd Apt 4,"Bowling Green, KY 42101",Apartment,825,1,1,765
42101,216 Moss View St Apt C,"Bowling Green, KY 42101",Apartment,1250,2,2,1198
42101,403 Topmiller Ave,"Bowling Green, KY 42101",Apartment,800,1,1,
42101,403 Topmiller Ave,"Bowling Green, KY 42101",Apartment,900,2,1,
