Address1,Address2,Style,Price,Beds,Baths,Sqft
1249 Kentucky St,"Bowling Green, KY 42101",Apartment,775,1,1,
3925 Redwood Dr,"Cumming, GA 30040",Townhome,2900,4,3.5+,2596
3035 N Kilpatrick Ave Unit G,"Chicago, IL 60641",House,1550,2,1,
1902 E Oriole St,"Springdale, AR 72764",House,1700,3,2,1676
1322 A Q Cir,"Springdale, AR 72764",Apartment,850,1,1,
823 Raymond Rd,"Jackson, MS 39204",House,1110,3,1,1454
2275 Lexington Ln,"Cumming, GA 30040",House,2095,3,2.5,
7055 Quarry Rd,"Amherst, OH 44001",Apartment,975,1,1,560
805 2nd Ave,"Council Bluffs, IA 51501",Apartment,500,Studio,1,
7310 Marvin D Love Fwy,"Dallas, TX 75237",Apartment,1034,1,1,519
807 Dierks St,"Broken Bow, OK 74728",House,2000,3,2,1134
4821 W Cornelia Ave Apt 1,"Chicago, IL 60641",Apartment,2100,3,1,1000
5508 W Barry Ave Unit 2,"Chicago, IL 60641",Apartment,1175,1,1,
3813 N Cicero Ave Unit 2,"Chicago, IL 60641",Apartment,2000,3,1,1000
3810 S Thompson Ave Unit 7,"Springdale, AR 72764",House,750,2,1,
4228 W Belmont Ave,"Chicago, IL 60641",Townhome,4200,3,3.5,1950
2875 Bronco Dr,"Dallas, TX 75237",House,2265,4,2,
202 E Emma Ave,"Springdale, AR 72764",Apartment,1810,2,2,1057
2501 Culkin Rd,"Vicksburg, MS 39183",Apartment,849,1,1,560
5225 W Melrose St Unit 2,"Chicago, IL 60641",Apartment,2200,3,1,1500
415 Upper Stone Ave,"Bowling Green, KY 42101",Apartment,875,2,2,850
202 E Emma Ave,"Springdale, AR 72764",Apartment,1125,Studio,1,470
2191 Prospector Ct,"Bowling Green, KY 42101",Apartment,900,1,1,561
2191 Prospector Ct,"Bowling Green, KY 42101",Apartment,950,1,1,561
1406 Oriole St,"Springdale, AR 72764",Apartment,1249,3,2,1152
1414 S Powell St Apt 202,"Springdale, AR 72764",Condo,695,1,1,400
5740 Zelkova Dr,"Cumming, GA 30040",House,3300,5,4,3710
4 Monroe Ct,"Russellville, AR 72802",House,1100,3,1.5,1264
11777 Rose Ln,"Cincinnati, OH 45246",Apartment,1550,2,2,925
1533 Raymond Rd,"Jackson, MS 39204",Apartment,1050,2,2,1135
1614 Parkside Dr,"Bowling Green, KY 42101",House,775,2,1,720
4001 W Monttrose Ave Unit St,"Chicago, IL 60641",Apartment,4400,Studio,2,
374 Upper Stone Ave Apt E,"Bowling Green, KY 42101",Apartment,900,2,2,1200
1414 S Powell St Apt 102,"Springdale, AR 72764",Condo,695,1,1,400
574 N 24th St,"Rogers, AR 72756",Apartment,1400,2,2,1400
4131 W Berteau Ave Apt 2,"Chicago, IL 60641",Apartment,1675,2,1,1250
3250 N Pulaski Rd Apt 212,"Chicago, IL 60641",House,1100,Studio,1,400
4179 W Belmont Ave,"Chicago, IL 60641",Apartment,2700,Studio,1,1155
4172 Wyatt Rd,"Traverse City, MI 49684",Apartment,1195,2,1,950
134 Audley Ave,"Bowling Green, KY 42101",Apartment,850,1,1,860
5327 W Wolfram St Unit 1,"Chicago, IL 60641",Apartment,1900,3,1,1100
