TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft
72956,"Tbd Tower Cir, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,39900,,,
72956,"Old Uniontown Rd, Van Buren, AR 72956","Van Buren, AR 72956",Pending,99900,,,
72956,"8800 Frontier Dr, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,1299000,,,
72956,"Tbd Pine Cliff Dr, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,482500,,,
72956,"4642 Scott Farm Loop, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,45240,,,
72956,"Tbd River Overlook Loop, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,28500,,,
72956,"Lost Bridge St Lot 54, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,32000,,,
72956,"Tbd River Overlook Cir, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,55000,,,
72956,"Tbd Pine Cliff Dr, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,39500,,,
72956,"259 Scott Farm Dr, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,52920,,,
72956,"500 Ledanna Dr, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,39999,,,
72956,"Tbd Hilltop, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,312000,,,
72956,"Tbd Tower Cir, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,45000,,,
72956,"Maggie Ln Lot 11, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,37000,,,
72956,"Tbd River Overlook Cir, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,55000,,,
72956,"Tbd River Overlook Loop, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,55000,,,
72956,"Tbd River Overlook Loop, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,55000,,,
72956,"Tbd River Overlook Loop, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,32500,,,
72956,"4537 N Scott Cir, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,55400,,,
72956,"4165 Scott Farm Loop, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,51000,,,
72956,"332 E Northridge Dr, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,199000,,,
72956,"Tbd River Overlook Cir, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,55000,,,
72956,"4294 Scott Farm Loop, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,43320,,,
72956,"4174 Scott Farm Loop, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,45240,,,
72956,"5516 59 Hwy, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,840000,,,
72956,"4822 Scott Farm Loop, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,49720,,,
72956,"Tbd S 59 Hwy, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,1300000,,,
72956,"4538 Scott Farm Rd, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,58040,,,
72956,"4598 Scott Farm Rd, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,58040,,,
72956,"Tbd S 59 Hwy, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,1300000,,,
72956,"Tbd Pinecliff Dr, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,45000,,,
72956,"Tbd Hilltop, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,280000,,,
72956,"4169 Scott Farm Rd, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,62500,,,
72956,"Tbd Industrial Park Rd, Van Buren, AR 72956","Van Buren, AR 72956",Pending,222000,,,
72956,"4423 Scott Farm Loop, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,54200,,,
72956,"Tbd Tower Cir, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,45000,,,
72956,"4819 Scott Farm Loop, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,51800,,,
72956,"Tbd River Overlook Cir, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,55000,,,
