TysonZip,Address1,Address2,Style,Price,Beds,Baths,Sqft,City,State,Zip,lat,lng,county_fips,county_name
72764,3810 S Thompson Ave Unit 35,"Springdale, AR 72764",House,1000.0,2.0,1.0,,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,711 Mountain View Ave,"Springdale, AR 72764",House,1350.0,3.0,2.0,1091.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,483 Branchwood Ave,"Springdale, AR 72764",House,1595.0,3.0,2.0,1502.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,315 Texas Ln Apt 203,"Springdale, AR 72764",Condo,865.0,2.0,1.0,676.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,1980 Friendship Wc 571 Rd,"Springdale, AR 72764",House,1800.0,3.0,2.0,2004.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,316 Erin Pl Apt 202,"Springdale, AR 72764",Condo,1100.0,2.0,1.0,974.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,315 Texas Ln Apt 106,"Springdale, AR 72764",Condo,1229.0,3.0,2.0,1280.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,1571 Shannon St Unit B,"Springdale, AR 72764",Other,900.0,2.0,1.0,1995.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,302 S Shiloh St,"Springdale, AR 72764",House,3000.0,3.0,2.5,2285.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,Hidden Lake St,"Springdale, AR 72764",Apartment,995.0,2.0,2.0,1180.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,1299 Electric Ave,"Springdale, AR 72764",Apartment,774.0,1.0,1.0,540.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,1299 Electric Ave,"Springdale, AR 72764",Apartment,1312.0,2.0,2.0,960.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,2005 Ashlee Dr,"Springdale, AR 72764",Apartment,1795.0,3.0,2.0,1450.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,202 E Emma Ave,"Springdale, AR 72764",Apartment,925.0,1.0,1.0,470.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,202 E Emma Ave,"Springdale, AR 72764",Apartment,1710.0,2.0,2.0,1057.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,305-317 Berry St,"Springdale, AR 72764",Apartment,795.0,1.0,1.0,400.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,3810 S Thompson St Unit 1,"Springdale, AR 72764",Apartment,1000.0,2.0,1.0,,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,5325 N Oak St,"Springdale, AR 72764",Apartment,1170.0,2.0,2.0,912.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,5325 N Oak St,"Springdale, AR 72764",Apartment,1440.0,4.0,2.0,1333.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,Rochester Cir,"Springdale, AR 72764",Apartment,1275.0,2.0,2.0,1200.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,2390 Hidden Lake St,"Springdale, AR 72764",Apartment,1350.0,3.0,2.0,1350.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,249 Erin Pl,"Springdale, AR 72764",Apartment,1095.0,2.0,1.0,975.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,1701 S West End St,"Springdale, AR 72764",Apartment,825.0,1.0,1.0,600.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,1701 S West End St,"Springdale, AR 72764",Apartment,875.0,1.0,1.0,600.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,809 Young St,"Springdale, AR 72764",Apartment,1250.0,2.0,1.0,920.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,654 Terry Ave,"Springdale, AR 72764",House,1675.0,3.0,2.0,1384.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,811 N Pleasant St,"Springdale, AR 72764",Apartment,900.0,1.0,1.0,560.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,811 N Pleasant St,"Springdale, AR 72764",Apartment,1200.0,2.0,1.0,780.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,100 Josie Pl,"Springdale, AR 72764",Apartment,1250.0,3.0,2.0,990.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,580 E Randall Wobbe Ln,"Springdale, AR 72764",Apartment,1060.0,2.0,1.0,675.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,4870 N Castlewood Ln,"Fayetteville, AR 72764",Apartment,1750.0,3.0,2.0,1612.0,Fayetteville,AR,72764,36.17746,-94.051,05143,Washington
72764,1406 Oriole St,"Springdale, AR 72764",Apartment,1113.0,2.0,1.0,800.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72764,1406 Oriole St,"Springdale, AR 72764",Apartment,1223.0,3.0,2.0,1152.0,Springdale,AR,72764,36.17746,-94.051,05143,Washington
72616,208 Ember Dr Apt 2,"Green Forest, AR 72638",Apartment,650.0,1.0,1.0,,Green Forest,AR,72638,36.3245,-93.40496,05015,Carroll
35031,40 Ratliff St Apt 8,"Blountsville, AL 35031",Condo,700.0,1.0,1.0,725.0,Blountsville,AL,35031,34.10256,-86.5455,01009,Blount
35031,40 Ratliff St Apt 5,"Blountsville, AL 35031",Condo,820.0,2.0,1.5,1017.0,Blountsville,AL,35031,34.10256,-86.5455,01009,Blount
42101,1546 Chestnut St,"Bowling Green, KY 42101",Apartment,1200.0,2.0,1.0,,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,170 Enterprise Ct,"Bowling Green, KY 42101",Apartment,800.0,1.0,1.0,683.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,1799 Russellville Rd,"Bowling Green, KY 42101",Apartment,990.0,1.0,1.0,546.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,1799 Russellville Rd,"Bowling Green, KY 42101",Apartment,2140.0,4.0,2.0,1393.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,904 Cabell Dr,"Bowling Green, KY 42101",House,800.0,3.0,1.0,,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,132 Pebble Ct,"Bowling Green, KY 42101",House,950.0,2.0,1.5,1140.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,2220 Hickory St,"Bowling Green, KY 42101",Apartment,1050.0,2.0,2.0,957.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,2220 Hickory St,"Bowling Green, KY 42101",Apartment,1100.0,2.0,2.0,957.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,2236 Hickory St,"Bowling Green, KY 42101",Apartment,1050.0,2.0,2.0,957.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,122 Pebble Ct,"Bowling Green, KY 42101",House,950.0,2.0,1.5,1147.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,508 Wren Rd,"Bowling Green, KY 42101",House,1300.0,3.0,1.0,1125.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,560 Labrador Dr,"Bowling Green, KY 42101",House,1825.0,3.0,2.0,1430.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,1625 Parkside Dr,"Bowling Green, KY 42101",Apartment,600.0,1.0,1.0,,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,4487 Wilford Ln Unit B,"Bowling Green, KY 42101",Townhome,1200.0,2.0,2.0,1100.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,4490 Wilford Ln Unit B,"Bowling Green, KY 42101",Townhome,1200.0,2.0,2.0,1100.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,255 Walnut Creek Ct Unit 255,"Bowling Green, KY 42101",Townhome,1200.0,2.0,2.0,1100.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,4548 Wal Valley Way Unit B,"Bowling Green, KY 42101",Townhome,1200.0,2.0,2.0,1100.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,4451 Wilford Ln Unit B,"Bowling Green, KY 42101",Townhome,1200.0,2.0,2.0,1100.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,213 Walnut Creek Ct Unit 213,"Bowling Green, KY 42101",Townhome,1200.0,2.0,2.0,1100.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,261 Walnut Creek Ct Unit 261,"Bowling Green, KY 42101",Townhome,1200.0,2.0,2.0,1100.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,112 Walnut Creek Ct Unit 112,"Bowling Green, KY 42101",Townhome,1200.0,2.0,2.0,1100.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,134 Westwood Cir Apt C,"Bowling Green, KY 42101",Condo/Townhome,950.0,2.0,2.0,1100.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,3213 S Oak St Unit 1,"Bowling Green, KY 42101",House,2650.0,3.0,3.0,2000.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,367 Upper Stone Ave Apt C,"Bowling Green, KY 42101",Apartment,790.0,1.0,1.0,800.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,559 Walnut Creek Dr Unit 559,"Bowling Green, KY 42101",Townhome,1450.0,3.0,2.5,1300.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,100 Walnut Creek Ct Unit 100,"Bowling Green, KY 42101",Townhome,1450.0,3.0,2.5,1300.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,4527 Wal Valley Way Unit B,"Bowling Green, KY 42101",Townhome,1550.0,3.0,2.5,1350.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,124 Walnut Creek Ct Unit 124,"Bowling Green, KY 42101",Townhome,1450.0,3.0,2.5,1350.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,517 White Dogwood Dr,"Bowling Green, KY 42101",House,1895.0,3.0,2.0,1871.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,505 White Dogwood Dr,"Bowling Green, KY 42101",House,1895.0,3.0,2.0,1871.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,324 Gatewood Ave,"Bowling Green, KY 42101",House,1800.0,4.0,2.0,1585.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,218 Kelly Rd Unit K74,"Bowling Green, KY 42101",Apartment,745.0,1.0,1.0,630.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,4485 Wal Valley Way Unit A,"Bowling Green, KY 42101",Townhome,1550.0,3.0,2.5,1300.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,324 Walnut Creek Ct Unit 324,"Bowling Green, KY 42101",Townhome,1450.0,3.0,2.5,1300.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,218 Kelly Rd Unit J63,"Bowling Green, KY 42101",Apartment,775.0,1.0,1.0,630.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,312 Cedar Hollow Dr Unit 1,"Bowling Green, KY 42101",House,1750.0,3.0,2.0,1450.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,4497 Wal Valley Way Unit A,"Bowling Green, KY 42101",Townhome,1550.0,3.0,2.5,1350.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,377 Cedar Run St,"Bowling Green, KY 42101",House,1750.0,3.0,2.0,1375.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,1411 High St # 111-1,"Bowling Green, KY 42101",Other,2100.0,4.0,2.0,,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,6002 Russellville Rd,"Bowling Green, KY 42101",Apartment,825.0,1.0,1.0,695.0,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
42101,1555 Chestnut St,"Bowling Green, KY 42101",Apartment,699.0,1.0,1.0,,Bowling Green,KY,42101,37.06552,-86.47809,21227,Warren
