TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft,City,State,Zip
73701,"213 S 18th St, Enid, OK 73701","Enid, OK 73701",For Sale,89900.0,2.0,1.0,810.0,Enid,OK,73701
73701,"745 N Central St, Enid, OK 73701","Enid, OK 73701",For Sale,55000.0,2.0,1.0,992.0,Enid,OK,73701
73701,"3321 N 4th St, Enid, OK 73701","Enid, OK 73701",For Sale,300000.0,1.0,0.5,1280.0,Enid,OK,73701
73701,"722 W Pine Ave, Enid, OK 73701","Enid, OK 73701",Pending,139900.0,3.0,2.5,1664.0,Enid,OK,73701
73701,"922 Harvest Dr, Enid, OK 73701","Enid, OK 73701",Pending,147000.0,3.0,2.0,1419.0,Enid,OK,73701
73701,"941 Freeland Dr, Enid, OK 73701","Enid, OK 73701",Pending,120000.0,3.0,2.0,1377.0,Enid,OK,73701
73701,"3230 Brooks Dr, Enid, OK 73701","Enid, OK 73701",Pending,119900.0,3.0,1.5,1257.0,Enid,OK,73701
73701,"1922 E Locust Ave, Enid, OK 73701","Enid, OK 73701",Pending,65000.0,2.0,1.0,952.0,Enid,OK,73701
73701,"529 N 4th St, Enid, OK 73701","Enid, OK 73701",Pending,45000.0,2.0,1.0,750.0,Enid,OK,73701
42602,"31 Carmel Ln, Albany, KY 42602","Albany, KY 42602",For Sale,170000.0,2.0,1.0,1328.0,Albany,KY,42602
42602,"1119 Shelley St, Albany, KY 42602","Albany, KY 42602",For Sale,129900.0,3.0,1.0,1100.0,Albany,KY,42602
42602,"51 Soaring Eagle Rd, Albany, KY 42602","Albany, KY 42602",For Sale,239900.0,2.0,1.0,776.0,Albany,KY,42602
42602,"3035 Old Monticello Rd, Albany, KY 42602","Albany, KY 42602",For Sale,45000.0,4.0,1.0,1179.0,Albany,KY,42602
42602,"6969 KY S 639 Hwy, Albany, KY 42602","Albany, KY 42602",For Sale,219000.0,3.0,2.0,1128.0,Albany,KY,42602
42602,"3246 KY Highway 829, Albany, KY 42602","Albany, KY 42602",For Sale,175000.0,4.0,2.0,1787.0,Albany,KY,42602
42602,"192 Bluff Rd, Albany, KY 42602","Albany, KY 42602",For Sale,1450000.0,4.0,4.5,3000.0,Albany,KY,42602
42602,"405 Central St, Albany, KY 42602","Albany, KY 42602",For Sale,74900.0,2.0,1.0,500.0,Albany,KY,42602
42602,"586 Davis Chapel Rd, Albany, KY 42602","Albany, KY 42602",Pending,299000.0,3.0,2.0,1504.0,Albany,KY,42602
35950,"838 Dixie Dale Rd, Albertville, AL 35950","Albertville, AL 35950",For Sale,249000.0,3.0,2.0,1400.0,Albertville,AL,35950
35950,"404 S Broad St Apt C, Albertville, AL 35950","Albertville, AL 35950",Contingent,149900.0,2.0,2.0,1205.0,Albertville,AL,35950
35950,"53 Childmark Dr, Albertville, AL 35950","Albertville, AL 35950",For Sale,260000.0,3.0,2.0,1510.0,Albertville,AL,35950
35950,"621 E Alabama Ave # 68, Albertville, AL 35950","Albertville, AL 35950",For Sale,489900.0,3.0,2.5,3223.0,Albertville,AL,35950
35950,"3054 Whitesville Rd, Albertville, AL 35950","Albertville, AL 35950",For Sale,389500.0,3.0,2.5,2330.0,Albertville,AL,35950
35950,"305 Baltimore Ave, Albertville, AL 35950","Albertville, AL 35950",For Sale,229500.0,4.0,2.0,3072.0,Albertville,AL,35950
