Location,address,city,state,lat,lng,county_fips,county_name,zip
Logansport Plant,2125 S County Rd 125,Logansport,Indiana,40.76044,-86.37303,18017,Cass,46947
Louisa County Plant,16198 Hwy 70 North,Columbus Junction,Iowa,41.2736,-91.38072,19115,Louisa,52738
Madison Ham Plant,1200 Industrial Pkwy,Madison,Nebraska,41.83883,-97.47638,31119,Madison,68748
Madison Plant,1200 Industrial Pkwy,Madison,Nebraska,41.83883,-97.47638,31119,Madison,68748
Mexican Original Sanford Plant,800 E Main St,Sanford,North Carolina,35.37836,-79.13599,37105,Lee,27332
Monett Plant,800 County Road,Monett,Missouri,36.91048,-93.90899,29009,Barry,65708
Monroe Plant,2023 Hasty St,Monroe,North Carolina,34.89355,-80.54113,37179,Union,28112
N. Little Rock Plant,3800 Progress St,North Little Rock,Arkansas,34.7645,-92.26024,05119,Pulaski,72114
Nashville Plant,100 E Cassady St,Nashville,Arkansas,33.99489,-93.85831,05061,Howard,71852
New Holland F/P Plant,403 S Custer Ave,New Holland,Pennsylvania,40.10328,-76.07543,42071,Lancaster,17557
New Holland Plant,403 S Custer Ave,New Holland,Pennsylvania,40.10328,-76.07543,42071,Lancaster,17557
New London Plant,N3620 Cty Rd D,New London,Wisconsin,44.41173,-88.7628,55135,Waupaca,54961
Newbern Plant,2000 Biffle Road,Newbern,Tennessee,36.11132,-89.24113,47045,Dyer,38059
Noel Plant,1 Tyson Ave,Noel,Missouri,36.54369,-94.44144,29119,McDonald,64854
North Richland Hills Plant,6350 Browning Ct,N Richland Hills,Texas,32.83994,-97.22468,48439,Tarrant,76180
Obion County Plant,2800 E Tyson Dr,Union City,Tennessee,36.43214,-89.11583,47131,Obion,38261
Omaha Plant,13076 Renfro Circle,Omaha,Nebraska,41.20595,-96.11924,31055,Douglas,68137
Pasco Plant,13983 Dodd Rd,Wallula,Washington,46.04821,-118.89575,53071,Walla Walla,99363
Perry Plant,13500 I Court,Perry,Iowa,41.8366,-94.12293,19049,Dallas,50220
Pine Bluff Jeff Pkwy Plant,5505 Jefferson Pkwy,White Hall,Arkansas,34.27463,-92.13302,05069,Jefferson,71602
Pine Enid Plant,206 East Pine Street,Enid,Oklahoma,36.42323,-97.78833,40047,Garfield,73701
Portland Plant,54 St John Street,Portland,Maine,43.65877,-70.30622,23005,Cumberland,04102
Randall Road Plant,671 Randall Wobbe Ln,Springdale,Arkansas,36.17746,-94.051,05143,Washington,72764
Robards Plant,14660 US Hwy 41 S,Robards,Kentucky,37.68531,-87.53654,21101,Henderson,42452
Rome Plant,10 Darlington Dr,Rome,Georgia,34.23758,-85.17319,13115,Floyd,30161
RVI-Hanceville Plant B,851 County Road 508,Hanceville,Alabama,34.01984,-86.83108,01043,Cullman,35077
San Lorenzo Plant,2411 Baumann Ave,San Lorenzo,California,37.67803,-122.13334,06001,Alameda,94580
Sedalia Plant,19571 Whitfield Rd,Sedalia,Missouri,38.69922,-93.22104,29159,Pettis,65301
