"location_name","location_type","location_fips_code","population","state","county","metro","2017_01","2017_02","2017_03","2017_04","2017_05","2017_06","2017_07","2017_08","2017_09","2017_10","2017_11","2017_12","2018_01","2018_02","2018_03","2018_04","2018_05","2018_06","2018_07","2018_08","2018_09","2018_10","2018_11","2018_12","2019_01","2019_02","2019_03","2019_04","2019_05","2019_06","2019_07","2019_08","2019_09","2019_10","2019_11","2019_12","2020_01","2020_02","2020_03","2020_04","2020_05","2020_06","2020_07","2020_08","2020_09","2020_10","2020_11","2020_12","2021_01","2021_02","2021_03","2021_04","2021_05","2021_06","2021_07","2021_08","2021_09","2021_10","2021_11","2021_12","2022_01","2022_02","2022_03","2022_04","2022_05","2022_06","2022_07","2022_08","2022_09","2022_10","2022_11","2022_12","2023_01","2023_02","2023_03","2023_04"
"United States","National",0,326569308,,,,0.0681462571778941,0.069150131398081,0.0695626008160354,0.0697483412505678,0.070193438645096,0.0701376023453148,0.0698438773864082,0.0702186852993489,0.0700122635306074,0.0688898786879134,0.0680588583801249,0.0669959089307301,0.0669673373347076,0.0679656071743013,0.0688002300932482,0.0690451509916983,0.0686771094812601,0.0680115492374399,0.0669107916331308,0.0654362110033689,0.0643206172252634,0.0635207536943123,0.0631940730138232,0.0638052830607161,0.0645824181407624,0.0655005034234107,0.0663619991233604,0.0666688384661035,0.0665317677854739,0.0659479143922748,0.0652174961351123,0.0643653199829546,0.0639152287236426,0.0637917846359899,0.0640511321760857,0.0647721564203499,0.0654385061021973,0.0661470482284389,0.0670053019852055,0.068869971800304,0.0708493063325459,0.0721031912187103,0.0723561445219883,0.0712595471807075,0.069683110428529,0.0684372276406416,0.0678114975764048,0.0674968334094451,0.0666215928672113,0.0652836279035187,0.0632413716221142,0.0596048032445386,0.0554982111120175,0.0508719564547358,0.0463290757794295,0.0429368692615759,0.0410435946919734,0.0406383121580957,0.0413207777561639,0.0427162190152439,0.0442328538984655,0.045996596850624,0.0475489220326175,0.0487205636738762,0.0494432393798763,0.0497840231374693,0.0503389464568129,0.0513920700202699,0.0531161019226704,0.0551199410523413,0.0571486929943458,0.0593321592972882,0.0613934619572841,0.0636479645576228,0.0660169913925271,0.0681580372772124
"California","State",6,39346023,"California",,,0.0483293624103205,0.0514600645918619,0.0516925266340681,0.0513949192182639,0.0521499345425772,0.05178400480296,0.0519082620074199,0.0529210702216848,0.0536284121238952,0.0535598863880636,0.0537561421090428,0.0536473977916346,0.0535896061263006,0.0535669322274313,0.0535531491078293,0.0535426965567708,0.0536781020701707,0.0544152769519858,0.0551005290190661,0.055080626785821,0.0547282939243825,0.0542726702831624,0.0537591414874228,0.0541269584576019,0.0547268959536104,0.0550906464298079,0.0559439250312251,0.0562448033672098,0.0564674706118398,0.0567155200142424,0.0564371547900893,0.0560037721102327,0.0561452886749884,0.0564007152097438,0.0566935947323164,0.0572871888088875,0.057310696606849,0.0571650697911032,0.0573620774778277,0.0593019873279677,0.0616764537205718,0.0644896173113421,0.0668740721025033,0.0677017252357929,0.0675611351113185,0.0663013754385979,0.0647663423279802,0.062791415734035,0.0607247741350927,0.0587746388616059,0.0566778235961885,0.0537842320340159,0.0503569542310257,0.0463662928562545,0.0421308075283685,0.0383849461621983,0.0361264330264297,0.0355899787168934,0.0360565430271971,0.0373570021603847,0.0384045067262168,0.0390189447003174,0.0395539308546731,0.0398098298758721,0.0401249019550076,0.0404857469132103,0.040905012629058,0.0419474200628245,0.0435003095775491,0.0451434068069693,0.0468808325550838,0.0485565079710157,0.049686545800855,0.0507640328234403,0.0519079374914733,0.0527644414686725
"Texas","State",48,28635442,"Texas",,,0.0865478714208019,0.0874936397262136,0.0884621475906294,0.0890197069641238,0.0898098556806465,0.0901275908985854,0.089859775458627,0.0903030862566441,0.0884253051217552,0.0854274306050179,0.082905159689063,0.0801824808429175,0.0804768078093211,0.0817577833195611,0.082628735570486,0.0828251652541024,0.0824772732457709,0.0821663174310399,0.0816141665547881,0.0808792516257746,0.0806077780350889,0.0808209339310329,0.0813831780485723,0.0826352894224673,0.0839285424221589,0.0850535446628503,0.085853904832813,0.0859812863061876,0.0853939270038659,0.0841937200809747,0.0829263194126963,0.081651798653777,0.0808453159718159,0.0805049555283566,0.0806619924575237,0.081191540809666,0.0819256805898206,0.0829738028838893,0.084002757794514,0.0858117759719772,0.087398575908722,0.0880065497158382,0.0878736643988262,0.0869659164790735,0.0857033328768031,0.0849318651720907,0.0847648498574389,0.0848775534001609,0.0841684356141053,0.0824998604772514,0.079528530485949,0.0744945001422059,0.0691336240942564,0.06340561337136,0.058151588917652,0.0541936135815618,0.0517740950084534,0.0507367044909857,0.0508735498910117,0.0517152194291761,0.0529241295294418,0.0548738512724244,0.056789373417557,0.0586776849532149,0.059930230311919,0.0606480994700107,0.061543096837169,0.0627339969809975,0.0647970238340603,0.0671701488808012,0.0695898515978638,0.0724664854960537,0.0751745105448315,0.0782041515928909,0.0815232193681529,0.083857084627464
"Florida","State",12,21216924,"Florida",,,0.0698070506780849,0.0718003246680044,0.073415455189831,0.0746517614697912,0.0772097328333291,0.0779312936568277,0.0773276220188264,0.075896739017807,0.0735632455370715,0.0706795461476744,0.0676804294798266,0.0649682597713973,0.0632832487959367,0.0637129458342735,0.0649996861837832,0.0666089320986351,0.0672533420635916,0.0670620348836322,0.0660132304280416,0.0638650726518893,0.0623907478994641,0.0615950954421317,0.0610247256085163,0.0617613531999231,0.0626225749475959,0.0635285932152222,0.0647692136163238,0.0657316993768378,0.0666848348734742,0.0666168034149549,0.066408736048268,0.0657804436129236,0.0654054724819431,0.0655941487122481,0.0661787313547246,0.0676087000884773,0.0683125558681579,0.0691465011218426,0.0704474293655376,0.0726583692137364,0.0749757466442551,0.0764448444303339,0.0763026524825416,0.0749282079996921,0.0731171192944533,0.071259762555553,0.07048061886989,0.0696164856805794,0.0676143521582568,0.064786093977369,0.0604798767917277,0.0542975714022778,0.0479268057793494,0.041559162131285,0.0359613465155335,0.0320081395798181,0.0303876752506768,0.0306528252199681,0.032073346205622,0.0345439236348643,0.0371467270430465,0.0399822913175194,0.0428516671264742,0.0451655144560651,0.0471393563698791,0.0486381285324831,0.0500150204982013,0.0515625927286463,0.0530647377782385,0.0544089547515802,0.0552556459411551,0.0563264615862423,0.0578188215414737,0.0600882984300544,0.0630105346212521,0.0656607158425699
"New York","State",36,19514849,"New York",,,0.0425620677116118,0.0511170391945552,0.0528139419091822,0.0531954659571099,0.0562114808916545,0.0571676084252348,0.0558265734978578,0.0548391004794045,0.0546800203282564,0.0502266265989284,0.0494585091101561,0.0495300123027455,0.0489104314283237,0.0503132173675694,0.0509934126222623,0.0512383986014337,0.0511501935475061,0.0506798180864106,0.0499989948401238,0.0483438621161738,0.0468538901237734,0.045662507298397,0.0453568561239333,0.0457618578386275,0.0464276381118857,0.046999239758112,0.047316641949201,0.0472098499215527,0.046246596251403,0.0458538492383971,0.0447506583203018,0.0432205022859579,0.0429214424062846,0.0414246279826677,0.0406507933490608,0.0410264536261843,0.0405157317026153,0.0411484026438719,0.0412262984851962,0.0417832792036872,0.0457061184594378,0.0506234427529229,0.0553047582738486,0.0589882535172973,0.0591256214847734,0.0589049736583713,0.058478336811842,0.0582165756524359,0.0581872508405615,0.0571891891828756,0.0559787900589449,0.0536760538119725,0.050756112040863,0.0464725783522662,0.0425555338075909,0.0394344684652204,0.0365874721074684,0.0348886253705814,0.0335371840416566,0.0326618718810736,0.0322417514769106,0.0326182309291771,0.0337404027963848,0.0347319277567312,0.0352801061862501,0.0357393319978913,0.037061541097943,0.0386954690579801,0.0415664013250479,0.0438991926571323,0.0454444647440599,0.047072379025304,0.0483793593419467,0.0496710780444777,0.0502433993287561,0.0504828808191453
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","Metro",35620,19261570,,,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",0.0443539662198214,0.0508952245345559,0.0521997808742515,0.0529127933238557,0.0565337093044443,0.0581310028361718,0.0576496726419269,0.0564975886909557,0.0539061180721968,0.0506672660895565,0.0506532218421777,0.051875145279294,0.0540603838806113,0.0558183178319047,0.0570331098521167,0.057851239843412,0.0581435065225367,0.0576008163320255,0.0570643890050074,0.0552619745181782,0.0533196788425987,0.0516304389681227,0.0498888090289935,0.0491214409574213,0.0485973195118896,0.0487938631548189,0.049600382045402,0.0497109858288412,0.0496594486789443,0.0498383010428482,0.0487889848763665,0.0475507318380021,0.0468258065126504,0.0447438914478804,0.0432645040575356,0.0430190964901328,0.0422152715669256,0.0422730144725191,0.0422797304947979,0.0432768384809832,0.0463694337437124,0.0511193880255355,0.0558522037467936,0.0593526348132494,0.0605178945080508,0.0602066971399255,0.0595529305159942,0.059117753448434,0.0582218467256607,0.0569031230975148,0.0553222601486702,0.0524031765991994,0.0495977557855409,0.0458522298193887,0.0420209753444395,0.0389375751008903,0.0360454638486414,0.0340057845937324,0.0330287245646383,0.0319557565763433,0.0315163441792343,0.0316129648784394,0.0316500464036305,0.0320121745750852,0.0322740734684736,0.032377067137889,0.0333229388705356,0.034692919210973,0.0368377231496097,0.038954123537123,0.0402921115853954,0.0413332430891852,0.0420053275527066,0.0423873842967551,0.0428963453494661,0.0442167314276024
"Los Angeles-Long Beach-Anaheim, CA Metro Area","Metro",31080,13211027,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",0.0519231982236657,0.0569225116656992,0.0578353688683511,0.0583626230591926,0.0605989560840604,0.0605200568670333,0.0606674496519901,0.0608222708137291,0.0604765953078889,0.0597053478386915,0.0594705154952288,0.0592172282320421,0.059003971463286,0.0586423267509432,0.0586528718665345,0.0591502601403705,0.0605253941084071,0.0629329345311978,0.0644169822198573,0.0642622350623678,0.0629095292987743,0.0610596496691274,0.0591874200894003,0.0587513574016746,0.0591084117241048,0.0594282702053574,0.0610858013255384,0.0621154565864831,0.0633866524624872,0.0643926782081253,0.0640282419917006,0.0627125675260153,0.0617416511809256,0.0606623927781491,0.05979845382902,0.0600656510288562,0.0600256775510883,0.0606189620601212,0.0622073770692869,0.0662799009552394,0.0703191672569328,0.0741881240781441,0.0770463417405532,0.0771877865922506,0.0757260491391445,0.0737585297921498,0.0714645323924154,0.0694800608274331,0.0681924999201825,0.066510288259414,0.0650602641962669,0.0621538101644282,0.0581699731776472,0.0530564595136879,0.0470150287174393,0.0412336809965907,0.037157279772554,0.0355213773951111,0.0352583438032484,0.0362311674815106,0.0372129435073772,0.037742066267604,0.0385893964383167,0.0395170252239758,0.0405429926861814,0.0416845715372414,0.0422076487600642,0.0427481749243669,0.0434984809085932,0.0443181963402531,0.0459601720753385,0.0479901757513251,0.0496740699967286,0.05119091386974,0.0529060099817489,0.0544519799045024
"Pennsylvania","State",42,12794885,"Pennsylvania",,,0.063641879814903,0.0610798714285238,0.0610533441584872,0.0620770502244709,0.0624734690145956,0.0646872357781678,0.0663744580100785,0.0679394327551984,0.0693289281620562,0.0688372731054886,0.0687160306497043,0.0691462142331525,0.0700033512687189,0.0724165117220371,0.0740976181816154,0.0740092165409079,0.071175052182077,0.0670902767687858,0.061996203200812,0.0564512157337999,0.0531413530572994,0.0515790942958893,0.0508991792157729,0.0512456169505282,0.0518059065723219,0.0517696252518759,0.0523456347262211,0.0527341278173921,0.0530657102085285,0.0529612053254067,0.052414094384737,0.051225156383225,0.0515571726746285,0.0513631999455272,0.0525667448049358,0.0531677616879655,0.0526517525563959,0.0531219350736822,0.0537099859116625,0.0567342618173363,0.0608673805067991,0.0650183226490958,0.0677141584991421,0.0691065401577396,0.0684321055900914,0.066770818357806,0.0651169646537947,0.0641272419088032,0.0641464859331746,0.0643142817592995,0.0640822449901795,0.06228160587659,0.058146127462718,0.0529039713752756,0.0469117687483558,0.0412454644404761,0.0370902037347189,0.0349071104990326,0.0346668705306465,0.0358624432225067,0.0387044095535383,0.042380713957051,0.0457951393963762,0.0481253373763595,0.0487229293379394,0.0479091608265842,0.0469358567963965,0.0467404340073048,0.047249311430532,0.048516310703584,0.0499385895565502,0.0512546694527856,0.0532761137259203,0.0561872159023562,0.059729182492583,0.0635343720191912
"Illinois","State",17,12716164,"Illinois",,,0.0549902669331866,0.0545692820379673,0.0538883438616332,0.0543523653100632,0.055023054175307,0.0563964964116918,0.0592590949411506,0.0632860462053022,0.068037242255389,0.0706469911608327,0.0726396889626852,0.0723069774680589,0.0714418153443182,0.0725691873656506,0.0737458635504997,0.0733716481384536,0.0714769544578369,0.0695750490030282,0.0667283386347386,0.065084791453486,0.0642920900288005,0.0628932422726154,0.0614503903108289,0.0613150377022716,0.0609911265519522,0.0613383527907005,0.0616982283910884,0.0610520468314984,0.0608481240279221,0.0607408909108611,0.0611203386183865,0.0613218794890233,0.0610568539626135,0.0599694416793473,0.0585386248659786,0.0579779758927639,0.057539005394895,0.0575031365519859,0.0589504792184585,0.0612018951113915,0.0655603602177211,0.0705825716373774,0.0746811500015656,0.0774353131439223,0.0776243432235822,0.076903251242315,0.075109650384272,0.0734760899348952,0.071707764421198,0.0694148555894624,0.0672819276188918,0.0638252123653644,0.0605212311216052,0.05729803376519,0.0538429211256259,0.0506924661925761,0.0476784365818804,0.0453290782469085,0.0438755431602262,0.0436881467912559,0.0444314877903537,0.0454769947918593,0.0467007316961257,0.0474593870224541,0.0473828353016332,0.0472776349928763,0.0473357488389317,0.0476045370941422,0.048280585851012,0.0489024339427735,0.0492766242432504,0.0504108394571916,0.0511849717808917,0.0519529613466516,0.0529451821677101,0.0537542301964647
"Ohio","State",39,11675275,"Ohio",,,0.092311947754505,0.0809018286798859,0.0766212965777488,0.0738776916713446,0.0650734943473098,0.06092513639202,0.0578025504831812,0.0593867778197969,0.0630615472966435,0.0637538802554555,0.0636605943413868,0.0595629774771461,0.0556939428232545,0.0564162118663506,0.0558823865466707,0.055029352114193,0.0537891822662466,0.0511551139107573,0.0496029633587801,0.0481549573417503,0.0468945609720969,0.0469190706829708,0.047235139591471,0.048433672553169,0.0503788333396118,0.0520623577822362,0.0540620480138233,0.0547794264152806,0.0539250455978097,0.0524057444811211,0.050411058487167,0.0485070043154043,0.0477039236789031,0.0477327897388405,0.0481775738910449,0.0496963696866087,0.0510990910118715,0.0522255170206963,0.0532189271936362,0.0537925331452969,0.0540632281819311,0.0536807944312935,0.0526118554079137,0.0515755189266251,0.0504393466241349,0.0498756497174154,0.0500089791572319,0.0500073959174431,0.0497759867067303,0.0489101726478652,0.0471386324005042,0.0442802301358254,0.0410303677430819,0.0376681864065589,0.0348829475081059,0.0331455273812652,0.0324983389839438,0.0326365523294596,0.0331137891773656,0.0337823308220246,0.0341909817391998,0.0350286035225419,0.0361241531311965,0.0369443818762586,0.0375371315455907,0.0374102650181456,0.0372694025358326,0.0381257717110283,0.0398649850367189,0.0421110568749796,0.044475074286785,0.0466743618698421,0.0486990973123066,0.0507531935963137,0.0522303045156003,0.0534120433118388
